                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7018,                 2.9483,                 1.2062,                 0.2877,                0.55016,                0.35318,                0.20402,                  1.341,                 1.9743,                 1.1015,               0.070118,              0.0033202,              0.0033202
                      1,                 1.4582,                 1.7573,                 1.1101,                0.37876,                0.56842,                0.44531,                0.26526,                 1.3249,                 1.7542,                 1.1465,               0.040112,               0.006647,               0.006647
                      2,                  1.457,                 1.7218,                 1.1102,                0.45701,                0.54912,                0.53329,                0.26186,                 1.6842,                 1.6444,                 1.3423,               0.010098,              0.0099671,              0.0099671
                      3,                 1.4744,                  1.633,                 1.1243,                0.65286,                0.57835,                0.67802,                0.38689,                 1.3837,                 1.3782,                 1.2058,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.4693,                 1.3044,                 1.1301,                0.76578,                 0.7138,                0.79202,                0.46878,                  1.212,                0.98761,                 1.1117,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4059,                 1.0826,                 1.1136,                0.88272,                0.69801,                0.83268,                0.47994,                 1.2711,                0.88808,                 1.1476,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.4211,                 1.0013,                 1.1186,                0.77407,                0.64801,                0.74059,                0.42764,                 1.4632,                 1.1673,                  1.255,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.3936,                0.99102,                 1.0991,                0.81162,                0.68856,                0.78234,                0.41993,                 1.3744,                 1.0056,                 1.2132,              0.0099406,              0.0099406,              0.0099406
                      8,                  1.375,                0.92891,                 1.0936,                0.87152,                0.73229,                 0.8119,                0.46782,                 1.2614,                0.88777,                  1.153,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3511,                0.91461,                 1.0838,                0.84592,                0.73259,                0.80637,                0.46138,                 1.3665,                0.87642,                  1.233,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.3419,                0.89702,                 1.0934,                0.88227,                 0.7565,                0.83993,                0.51425,                 1.1916,                0.80793,                 1.0993,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.3099,                0.85057,                  1.079,                 0.9055,                0.74156,                0.87286,                 0.5536,                 1.1034,                0.74179,                 1.0642,               0.009901,               0.009901,               0.009901
                     12,                  1.327,                0.82572,                 1.0812,                0.79752,                0.68122,                0.73143,                 0.4065,                 1.4019,                 0.8629,                 1.2526,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.3061,                0.84817,                 1.0631,                0.90911,                0.82345,                0.91146,                0.57354,                  1.122,                0.68178,                 1.0661,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.2969,                0.81015,                 1.0677,                0.88187,                0.77555,                0.87927,                0.55127,                 1.1643,                0.76633,                 1.1002,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.3011,                0.82082,                 1.0692,                0.89649,                0.77915,                 0.9003,                0.56632,                 1.1449,                0.66729,                 1.0893,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.2967,                 0.7999,                 1.0492,                0.92631,                0.76039,                 0.8759,                0.55543,                 1.1111,                0.67294,                 1.0605,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2813,                0.75583,                 1.0634,                0.91776,                0.78894,                0.89134,                0.57547,                 1.0914,                0.65538,                  1.053,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.2511,                0.75635,                 1.0499,                 0.8835,                0.78435,                0.85898,                0.46226,                 1.4107,                0.70882,                 1.2006,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.2383,                0.72868,                 1.0385,                0.92569,                0.79394,                 0.9035,                0.57582,                 1.0982,                0.61516,                 1.0582,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.2649,                0.74955,                 1.0602,                0.92033,                0.81083,                0.91112,                0.57067,                   1.12,                0.63142,                 1.0647,              0.0098119,              0.0098119,              0.0098119
                     21,                  1.243,                0.72193,                 1.0337,                0.93728,                0.83181,                0.91716,                0.59524,                 1.0672,                0.57352,                 1.0481,               0.009802,               0.009802,               0.009802
                     22,                 1.2273,                0.71683,                 1.0379,                0.91762,                0.80261,                0.89181,                0.58095,                 1.0402,                0.60772,                 1.0449,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.2381,                 0.7195,                 1.0515,                0.92598,                0.81701,                0.90538,                0.58862,                 1.0419,                  0.607,                 1.0289,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.2417,                0.71315,                 1.0456,                0.94102,                0.78783,                0.89141,                0.58458,                  1.103,                0.63722,                 1.0524,              0.0097723,              0.0097723,              0.0097723
