Month,Include three kind of keywords
2011/10,2
2011/11,3
2011/12,7
2012/01,3
2012/02,2
2012/03,2
2012/04,1
2012/05,14
2012/06,18
2012/07,12
2012/08,10
2012/09,14
2012/10,18
2012/11,5
2012/12,10
2013/01,8
2013/02,3
2013/03,6
2013/04,10
2013/05,8
2013/06,11
2013/07,13
2013/08,14
2013/09,7
2013/10,8
2013/11,6
2013/12,9
2014/01,3
2014/02,3
2014/03,8
2014/04,7
2014/05,4
2014/06,4
2014/07,2
2014/08,3
2014/09,8
2014/10,13
2014/11,9
2014/12,11
2015/01,12
2015/02,2
2015/03,10
2015/04,5
2015/05,5
2015/06,4
2015/07,3
2015/08,12
2015/09,6
2015/10,5
2015/11,4
2015/12,8
2016/01,9
2016/02,3
2016/03,4
2016/04,4
2016/05,3
2016/06,7
2016/07,6
2016/08,4
2016/09,4
2016/10,2
2016/11,7
2016/12,8
2017/01,4
2017/02,4
2017/03,2
2017/04,4
2017/05,1
2017/06,6
2017/07,6
2017/08,4
2017/09,4
2017/10,2
2017/11,11
2017/12,8
2018/01,1
2018/02,5
2018/03,7
2018/04,3
2018/05,4
2018/06,7
2018/07,8
2018/08,16
2018/09,12
2018/10,22
2018/11,18
2018/12,27
2019/01,20
2019/02,13
2019/03,16
2019/04,15
2019/05,15
2019/06,13
2019/07,12
2019/08,12
2019/09,8
2019/10,8
2019/11,18
2019/12,21
2020/01,20
2020/02,16
2020/03,24
2020/04,16
2020/05,25
2020/06,10
2020/07,12
2020/08,17
2020/09,23
2020/10,9
2020/11,17
2020/12,28
2021/01,10
2021/02,12
2021/03,9
2021/04,12
2021/05,13
2021/06,11
2021/07,13
2021/08,13
2021/09,19
2021/10,17
2021/11,20
2021/12,21
2022/01,15
2022/02,24
2022/03,29
2022/04,22
2022/05,24
2022/06,22
2022/07,22
2022/08,15
2022/09,14
