Month,Include three kind of keywords
1951/12,1
1952/04,1
1953/02,1
1953/06,1
1955/11,4
1956/06,6
1957/10,1
1958/05,2
1958/07,1
1958/09,4
1958/11,6
1959/04,3
1959/07,1
1960/02,10
1960/06,1
1960/08,8
1960/09,2
1960/11,1
1961/01,12
1961/09,1
1961/11,3
1961/12,1
1962/01,3
1962/02,10
1962/06,4
1962/07,1
1962/10,5
1962/12,18
1963/06,4
1963/07,1
1964/02,2
1964/03,2
1964/05,1
1965/09,1
1965/11,3
1965/12,14
1966/04,3
1966/07,1
1966/09,8
1966/10,19
1968/05,1
1968/09,1
1969/02,3
1969/03,5
1970/03,1
1970/07,2
1970/09,3
1971/04,1
1971/11,4
1972/04,5
1973/01,3
1973/03,6
1973/04,2
1973/05,6
1973/09,4
1973/10,2
1973/11,6
1973/12,15
1974/01,14
1974/03,7
1974/08,9
1974/10,3
1974/11,1
1974/12,8
1975/02,2
1975/03,2
1975/06,4
1975/07,2
1975/08,2
1976/07,2
1976/10,7
1976/11,3
1976/12,3
1977/02,7
1977/03,7
1978/10,1
1978/11,6
1978/12,5
1979/01,7
1979/06,6
1979/07,9
1979/10,3
1979/12,2
1980/01,14
1980/02,1
1980/04,7
1980/05,19
1980/06,13
1980/07,2
1980/09,32
1980/10,10
1980/11,1
1980/12,6
1981/02,1
1981/04,5
1981/05,1
1981/08,6
1981/09,6
1981/12,11
1982/01,16
1982/03,4
1982/04,1
1982/05,2
1982/10,28
1982/11,17
1982/12,3
1983/04,2
1983/05,11
1983/07,2
1983/09,2
1983/10,1
1983/12,2
1984/01,11
1984/04,26
1984/06,4
1984/07,3
1984/10,6
1984/11,6
1985/01,2
1985/02,2
1985/03,7
1985/05,9
1985/07,6
1985/08,2
1985/09,1
1985/11,2
1986/04,5
1986/05,2
1986/06,9
1986/10,12
1986/11,7
1986/12,2
1987/02,10
1987/03,7
1987/04,6
1987/05,10
1987/06,10
1987/07,17
1987/08,1
1987/09,10
1987/10,4
1987/11,19
1987/12,2
1988/01,12
1988/02,2
1988/03,3
1988/05,9
1988/06,37
1988/07,16
1988/08,51
1988/09,74
1988/10,43
1988/11,14
1988/12,23
1989/01,42
1989/02,13
1989/03,41
1989/04,46
1989/05,55
1989/06,25
1989/07,54
1989/08,20
1989/09,18
1989/10,30
1989/11,33
1989/12,19
1990/01,13
1990/02,29
1990/03,26
1990/04,42
1990/05,83
1990/06,33
1990/07,60
1990/08,47
1990/09,14
1990/10,48
1990/11,11
1990/12,3
1991/01,21
1991/02,16
1991/03,8
1991/04,33
1991/05,7
1991/06,17
1991/07,20
1991/08,18
1991/09,31
1991/10,82
1991/11,14
1991/12,16
1992/01,35
1992/02,20
1992/03,8
1992/04,65
1992/05,35
1992/06,50
1992/07,12
1992/08,15
1992/09,46
1992/10,32
1992/11,64
1992/12,39
1993/01,21
1993/02,36
1993/03,38
1993/04,15
1993/05,23
1993/06,31
1993/07,55
1993/08,46
1993/09,56
1993/10,38
1993/11,17
1993/12,31
1994/01,19
1994/02,20
1994/03,18
1994/04,7
1994/05,11
1994/06,24
1994/07,9
1994/08,26
1994/09,20
1994/10,15
1994/11,43
1994/12,33
1995/01,21
1995/02,12
1995/03,21
1995/04,14
1995/05,20
1995/06,21
1995/07,154
1995/08,48
1995/09,132
1995/10,74
1995/11,68
1995/12,65
1996/01,26
1996/02,50
1996/03,71
1996/04,9
1996/05,20
1996/06,12
1996/07,15
1996/08,21
1996/09,5
1996/10,25
1996/11,42
1996/12,34
1997/01,18
1997/02,17
1997/03,23
1997/04,7
1997/05,13
1997/06,23
1997/07,29
1997/08,14
1997/09,29
1997/10,26
1997/11,14
1997/12,40
1998/01,89
1998/02,32
1998/03,4
1998/04,32
1998/05,77
1998/06,36
1998/07,52
1998/08,52
1998/09,38
1998/10,26
1998/11,22
1998/12,212
1999/01,100
1999/02,56
1999/03,25
1999/04,2
1999/05,29
1999/06,37
1999/07,24
1999/08,4
1999/09,8
1999/10,18
1999/11,7
1999/12,80
2000/01,29
2000/02,7
2000/03,40
2000/04,20
2000/05,24
2000/06,18
2000/07,57
2000/08,90
2000/09,36
2000/10,68
2000/11,62
2000/12,79
2001/01,72
2001/02,58
2001/03,27
2001/04,20
2001/05,63
2001/06,52
2001/07,11
2001/08,64
2001/09,8
2001/10,11
2001/11,16
2001/12,19
2002/01,17
2002/02,18
2002/03,10
2002/04,10
2002/05,9
2002/06,7
2002/07,21
2002/08,33
2002/09,10
2002/10,16
2002/11,30
2002/12,20
2003/01,45
2003/02,10
2003/03,12
2003/04,6
2003/05,24
2003/06,15
2003/07,43
2003/08,23
2003/09,21
2003/10,1
2003/11,17
2003/12,21
2004/01,12
2004/02,16
2004/03,46
2004/04,47
2004/05,62
2004/06,39
2004/07,8
2004/08,24
2004/09,27
2004/10,22
2004/11,23
2004/12,21
2005/01,67
2005/02,16
2005/03,28
2005/04,8
2005/05,22
2005/06,12
2005/07,20
2005/08,4
2005/09,17
2005/10,6
2005/12,9
2006/01,11
2006/02,10
2006/03,18
2006/04,1
2006/05,26
2006/06,23
2006/07,20
2006/08,5
2006/09,28
2006/10,10
2006/11,44
2006/12,12
2007/01,22
2007/02,18
2007/03,35
2007/04,34
2007/05,16
2007/06,13
2007/07,24
2007/08,56
2007/09,46
2007/10,36
2007/11,35
2007/12,43
2008/01,46
2008/02,48
2008/03,51
2008/04,21
2008/05,22
2008/06,7
2008/07,32
2008/08,13
2008/09,119
2008/10,67
2008/11,15
2008/12,100
2009/01,42
2009/02,44
2009/03,28
2009/04,21
2009/05,17
2009/06,17
2009/07,24
2009/08,11
2009/09,45
2009/10,21
2009/11,32
2009/12,24
2010/01,34
2010/02,16
2010/03,63
2010/04,49
2010/05,46
2010/06,27
2010/07,28
2010/09,25
2010/10,35
2010/11,32
2010/12,65
2011/01,53
2011/02,81
2011/03,41
2011/04,155
2011/05,53
2011/06,24
2011/07,29
2011/08,84
2011/09,36
2011/10,40
2011/11,46
2011/12,92
2012/01,183
2012/02,22
2012/03,20
2012/04,33
2012/05,60
2012/06,66
2012/07,2
2012/08,43
2012/09,26
2012/10,53
2012/11,45
2012/12,30
2013/01,60
2013/02,24
2013/03,16
2013/04,48
2013/05,61
2013/06,68
2013/07,38
2013/08,52
2013/09,85
2013/10,54
2013/11,85
2013/12,40
2014/01,70
2014/02,26
2014/03,153
2014/04,150
2014/05,72
2014/06,75
2014/07,103
2014/08,32
2014/09,126
2014/10,139
2014/11,130
2014/12,142
2015/01,94
2015/02,87
2015/03,200
2015/04,50
2015/05,140
2015/06,131
2015/07,121
2015/08,54
2015/09,77
2015/10,55
2015/11,44
2015/12,143
2016/01,113
2016/02,40
2016/03,83
2016/04,16
2016/05,82
2016/06,100
2016/07,22
2016/08,10
2016/09,46
2016/10,40
2016/11,77
2016/12,48
2017/01,16
2017/02,25
2017/03,10
2017/04,10
2017/05,6
2017/06,8
2017/07,5
2017/08,17
2017/09,12
2017/10,23
2017/11,12
2017/12,32
2018/01,14
2018/02,16
2018/03,20
2018/04,6
2018/05,3
2018/06,14
2018/07,4
2018/08,25
2018/09,25
2018/10,6
2018/11,2
2018/12,4
2019/01,28
2019/03,18
2019/04,6
2019/05,8
2019/06,21
2019/07,11
2019/08,41
2019/09,41
2019/10,24
2019/11,58
2019/12,39
2020/01,20
2020/02,9
2020/03,25
2020/04,8
2020/05,13
2020/06,24
2020/07,52
2020/08,12
2020/09,34
2020/10,52
2020/11,7
2020/12,48
2021/01,56
2021/02,4
2021/03,33
2021/04,16
2021/05,37
2021/06,40
2021/07,45
2021/08,25
2021/09,40
2021/10,49
2021/11,43
2021/12,80
2022/01,33
2022/02,11
2022/03,67
2022/04,21
2022/05,62
